"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
It returns 0 if a signed receipt request is not present and -1 if it is present but malformed,null,It returns 0 if a signed receipt request is not present and -1 if it is present but malformed,CMS_get1_ReceiptRequest_APIName returns 1 is a signed receipt request is found and decoded. It returns 0 if a signed receipt request is not present and -1 if it is present but malformed.
"RSA_sign_ASN1_OCTET_STRING_APIName returns 1 on success, 0 otherwise",null,"RSA_sign_ASN1_OCTET_STRING_APIName returns 1 on success, 0 otherwise","RSA_sign_ASN1_OCTET_STRING_APIName returns 1 on success, 0 otherwise. RSA_verify_ASN1_OCTET_STRING_APIName returns 1 on successful verification, 0 otherwise."
The random number generator must be seeded prior to calling RSA_sign_ASN1_OCTET_STRING_APIName,null,The random number generator must be seeded prior to calling RSA_sign_ASN1_OCTET_STRING_APIName,The random number generator must be seeded prior to calling RSA_sign_ASN1_OCTET_STRING_APIName.
"RSA_verify_ASN1_OCTET_STRING_APIName returns 1 on successful verification, 0 otherwise",null,"RSA_verify_ASN1_OCTET_STRING_APIName returns 1 on successful verification, 0 otherwise","RSA_sign_ASN1_OCTET_STRING_APIName returns 1 on success, 0 otherwise. RSA_verify_ASN1_OCTET_STRING_APIName returns 1 on successful verification, 0 otherwise."
int CMS_get1_ReceiptRequest_APIName looks for a signed receipt request in CMS_get1_ReceiptRequest_APIParam_1,if any is found it is decoded and written to CMS_get1_ReceiptRequest_APIParam_2,"int CMS_get1_ReceiptRequest_APIName looks for a signed receipt request in CMS_get1_ReceiptRequest_APIParam_1, if any is found it is decoded and written to CMS_get1_ReceiptRequest_APIParam_2","int CMS_get1_ReceiptRequest_APIName looks for a signed receipt request in CMS_get1_ReceiptRequest_APIParam_1, if any is found it is decoded and written to CMS_get1_ReceiptRequest_APIParam_2."
The error codes can be obtained by ERR_get_error_APIName,null,The error codes can be obtained by ERR_get_error_APIName,The error codes can be obtained by ERR_get_error_APIName .
These functions serve no recognizable purpose,null,These functions serve no recognizable purpose,These functions serve no recognizable purpose.
The contents of a signed receipt should only be considered meaningful,if the corresponding CMS_ContentInfo structure can be successfully verified using CMS_verify_APIName,The contents of a signed receipt should only be considered meaningful if the corresponding CMS_ContentInfo structure can be successfully verified using CMS_verify_APIName,The contents of a signed receipt should only be considered meaningful if the corresponding CMS_ContentInfo structure can be successfully verified using CMS_verify_APIName.
These functions decode and encode an X509 CRL,null,These functions decode and encode an X509 CRL (certificate revocation list),These functions decode and encode an X509 CRL (certificate revocation list).
BIO_s_null_APIName returns the null sink BIO method,null,BIO_s_null_APIName returns the null sink BIO method,"BIO_s_null_APIName returns the null sink BIO method. Data written to the null sink is discarded, reads return EOF."
"Data written to the null sink is discarded, reads return EOF",null,"Data written to the null sink is discarded, reads return EOF","BIO_s_null_APIName returns the null sink BIO method. Data written to the null sink is discarded, reads return EOF."
Othewise the functions behave in a similar way to d2i_X509_APIName and i2d_X509_APIName described in the d2i_X509_APIName manual page,null,Othewise the functions behave in a similar way to d2i_X509_APIName and i2d_X509_APIName described in the d2i_X509_APIName manual page,Othewise the functions behave in a similar way to d2i_X509_APIName and i2d_X509_APIName described in the d2i_X509_APIName manual page.
A null sink BIO behaves in a similar manner to the Unix / dev/null device,null,A null sink BIO behaves in a similar manner to the Unix /dev/null device,A null sink BIO behaves in a similar manner to the Unix /dev/null device.
BIO_s_null_APIName returns the null sink BIO method,null,BIO_s_null_APIName returns the null sink BIO method,BIO_s_null_APIName returns the null sink BIO method.
A null bio can be placed on the end of a chain to discard any data passed through it,null,A null bio can be placed on the end of a chain to discard any data passed through it,A null bio can be placed on the end of a chain to discard any data passed through it.
"HMAC_APIParam_1 can be EVP_sha1_APIName , EVP_ripemd160_APIName etc",null,"HMAC_APIParam_1 can be EVP_sha1_APIName, EVP_ripemd160_APIName etc","HMAC_APIParam_1 can be EVP_sha1_APIName, EVP_ripemd160_APIName etc"
this can be achieved by adding a null sink BIO to the end of the chain,null," , this can be achieved by adding a null sink BIO to the end of the chain","A null sink is useful if, for example, an application wishes to digest some data by writing through a digest bio but not send the digested data anywhere. Since a BIO chain must normally include a source/sink BIO, this can be achieved by adding a null sink BIO to the end of the chain"
HMAC_CTX_init_APIName initialises a HMAC_CTX_init_APIParam_1 before first use,null,HMAC_CTX_init_APIName initialises a HMAC_CTX_init_APIParam_1 before first use,HMAC_CTX_init_APIName initialises a HMAC_CTX_init_APIParam_1 before first use. It must be called.
It must be called,null,It must be called,HMAC_CTX_init_APIName initialises a HMAC_CTX_init_APIParam_1 before first use. It must be called.
"HMAC is a MAC , ie a keyed hash function used for message authentication , which is based on a hash function",null,"HMAC is a MAC (message authentication code), ie a keyed hash function used for message authentication, which is based on a hash function","HMAC is a MAC (message authentication code), ie a keyed hash function used for message authentication, which is based on a hash function."
HMAC_CTX_cleanup_APIName erases the key and other data from the HMAC_CTX_cleanup_APIParam_1 and releases any associated resources,null,HMAC_CTX_cleanup_APIName erases the key and other data from the HMAC_CTX_cleanup_APIParam_1 and releases any associated resources,HMAC_CTX_cleanup_APIName erases the key and other data from the HMAC_CTX_cleanup_APIParam_1 and releases any associated resources. It must be called when an HMAC_CTX_cleanup_APIParam_1 is no longer required.
HMAC_APIName computes the message authentication code of the HMAC_APIParam_1 bytes at HMAC_APIParam_2 using the hash function HMAC_APIParam_1 and the key HMAC_APIParam_2 which is HMAC_Init_APIParam_3 HMAC_Init_ex_APIParam_3 bytes long,null,HMAC_APIName computes the message authentication code of the HMAC_APIParam_1 bytes at HMAC_APIParam_2 using the hash function HMAC_APIParam_1 and the key HMAC_APIParam_2 which is HMAC_Init_APIParam_3 HMAC_Init_ex_APIParam_3 bytes long,HMAC_APIName computes the message authentication code of the HMAC_APIParam_1 bytes at HMAC_APIParam_2 using the hash function HMAC_APIParam_1 and the key HMAC_APIParam_2 which is HMAC_Init_APIParam_3 HMAC_Init_ex_APIParam_3 bytes long.
"HMAC_cleanup_APIName is an alias for HMAC_CTX_cleanup_APIName included for back compatibility with 0.9.6 b , it is deprecated",null,"HMAC_cleanup_APIName is an alias for HMAC_CTX_cleanup_APIName included for back compatibility with 0.9.6b, it is deprecated","HMAC_cleanup_APIName is an alias for HMAC_CTX_cleanup_APIName included for back compatibility with 0.9.6b, it is deprecated."
It is deprecated and only included for backward compatibility with OpenSSL 0.9.6 b,null,It is deprecated and only included for backward compatibility with OpenSSL 0.9.6b,HMAC_Init_APIName initializes a HMAC_Init_APIParam_1 structure to use the hash function HMAC_APIParam_1 and the key HMAC_Init_APIParam_2 which is HMAC_Init_APIParam_3 bytes long. It is deprecated and only included for backward compatibility with OpenSSL 0.9.6b.
HMAC_APIName returns a pointer to the message authentication code or NULL if an error occurred,null,HMAC_APIName returns a pointer to the message authentication code or NULL if an error occurred,HMAC_APIName returns a pointer to the message authentication code or NULL if an error occurred.
HMAC_Init_APIName initializes a HMAC_Init_APIParam_1 structure to use the hash function HMAC_APIParam_1 and the key HMAC_Init_APIParam_2 which is HMAC_Init_APIParam_3 bytes long,null,HMAC_Init_APIName initializes a HMAC_Init_APIParam_1 structure to use the hash function HMAC_APIParam_1 and the key HMAC_Init_APIParam_2 which is HMAC_Init_APIParam_3 bytes long,HMAC_Init_APIName initializes a HMAC_Init_APIParam_1 structure to use the hash function HMAC_APIParam_1 and the key HMAC_Init_APIParam_2 which is HMAC_Init_APIParam_3 bytes long. It is deprecated and only included for backward compatibility with OpenSSL 0.9.6b.
A null sink is useful,"if , , an application wishes to digest some data by writing through a digest bio but not send the digested data anywhere","A null sink is useful if, for example, an application wishes to digest some data by writing through a digest bio but not send the digested data anywhere","A null sink is useful if, for example, an application wishes to digest some data by writing through a digest bio but not send the digested data anywhere. Since a BIO chain must normally include a source/sink BIO, this can be achieved by adding a null sink BIO to the end of the chain"
It must be called,when an HMAC_CTX_cleanup_APIParam_1 is no longer required,It must be called when an HMAC_CTX_cleanup_APIParam_1 is no longer required,HMAC_CTX_cleanup_APIName erases the key and other data from the HMAC_CTX_cleanup_APIParam_1 and releases any associated resources. It must be called when an HMAC_CTX_cleanup_APIParam_1 is no longer required.
HMAC_CTX_init_APIName and HMAC_CTX_cleanup_APIName do not return values,null,HMAC_CTX_init_APIName and HMAC_CTX_cleanup_APIName do not return values,HMAC_CTX_init_APIName and HMAC_CTX_cleanup_APIName do not return values.
"HMAC_Final_APIName places the message authentication code in HMAC_Final_APIParam_2 , which must have space for the hash function output",null,"HMAC_Final_APIName places the message authentication code in HMAC_Final_APIParam_2, which must have space for the hash function output","HMAC_Final_APIName places the message authentication code in HMAC_Final_APIParam_2, which must have space for the hash function output."
