If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and one last time,when the xFinal callback is invoked,Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and then one last time when the xFinal callback is invoked.,"The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory.On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName.Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and then one last time when the xFinal callback is invoked.When no rows match an aggregate query, the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once.In those cases, sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName."
the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once,When no rows match an aggregate query,"When no rows match an aggregate query, the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once.","The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory.On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName.Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and then one last time when the xFinal callback is invoked.When no rows match an aggregate query, the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once.In those cases, sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName."
The first parameter must be a copy of the SQL function context that is sqlite3_aggregate_context_APIParam_1 to the xStep or xFinal callback routine that implements the aggregate function,null,The first parameter must be a copy of the SQL function context that is sqlite3_aggregate_context_APIParam_1 to the xStep or xFinal callback routine that implements the aggregate function.,The first parameter must be a copy of the SQL function context that is sqlite3_aggregate_context_APIParam_1 to the xStep or xFinal callback routine that implements the aggregate function.
check to see,if a database file was a URI that contained a specific query parameter,"These are utility routines, useful to VFS implementations, that check to see if a database file was a URI that contained a specific query parameter, and if so obtains the value of that query parameter.","These are utility routines, useful to VFS implementations, that check to see if a database file was a URI that contained a specific query parameter, and if so obtains the value of that query parameter."
"These are utility routines , useful to VFS implementations , that , and if so obtains the value of that query parameter",null,"These are utility routines, useful to VFS implementations, that check to see if a database file was a URI that contained a specific query parameter, and if so obtains the value of that query parameter.","These are utility routines, useful to VFS implementations, that check to see if a database file was a URI that contained a specific query parameter, and if so obtains the value of that query parameter."
the behavior of this routine is undefined and probably undesirable,If sqlite3_uri_boolean_APIParam_1 is not a NULL pointer and is not a database file pathname pointer that SQLite passed into the xOpen VFS method,"If sqlite3_uri_boolean_APIParam_1 is not a NULL pointer and is not a database file pathname pointer that SQLite passed into the xOpen VFS method, then the behavior of this routine is undefined and probably undesirable.","If sqlite3_uri_boolean_APIParam_1 is a NULL pointer, then sqlite3_uri_parameter_APIName returns NULL and sqlite3_uri_boolean_APIName returns B.If sqlite3_uri_boolean_APIParam_1 is not a NULL pointer and is not a database file pathname pointer that SQLite passed into the xOpen VFS method, then the behavior of this routine is undefined and probably undesirable."
SQLite uses internally,when comparing identifiers,"The sqlite3_stricmp_APIName and sqlite3_strnicmp_APIName APIs allow applications and extensions to compare the contents of two buffers containing UTF-8 strings in a case-independent fashion, using the same definition of ""case independence"" that SQLite uses internally when comparing identifiers.","The sqlite3_stricmp_APIName and sqlite3_strnicmp_APIName APIs allow applications and extensions to compare the contents of two buffers containing UTF-8 strings in a case-independent fashion, using the same definition of ""case independence"" that SQLite uses internally when comparing identifiers."
"The sqlite3_stricmp_APIName and sqlite3_strnicmp_APIName APIs allow applications and extensions to compare the contents of two buffers containing UTF-8 strings in a case-independent fashion , using the same definition of `` case independence '' that",null,"The sqlite3_stricmp_APIName and sqlite3_strnicmp_APIName APIs allow applications and extensions to compare the contents of two buffers containing UTF-8 strings in a case-independent fashion, using the same definition of ""case independence"" that SQLite uses internally when comparing identifiers.","The sqlite3_stricmp_APIName and sqlite3_strnicmp_APIName APIs allow applications and extensions to compare the contents of two buffers containing UTF-8 strings in a case-independent fashion, using the same definition of ""case independence"" that SQLite uses internally when comparing identifiers."
Extension loading is off by default,null,Extension loading is off by default.,Extension loading is off by default.Call the sqlite3_enable_load_extension_APIName routine with onoff==1 to turn extension loading on and call it with onoff==0 to turn it back off again.
Use sqlite3_db_config to enable or disable only the C-API,null,"Use sqlite3_db_config(db,SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant,..) to enable or disable only the C-API.","This interface enables or disables both the C-API sqlite3_load_extension_APIName and the SQL function load_extension_APIName.Use sqlite3_db_config(db,SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant,..) to enable or disable only the C-API."
The sqlite3_stmt_isexplain_APIName interface returns 0 if sqlite3_stmt_isexplain_APIParam_1 is an ordinary statement or a NULL pointer,null,The sqlite3_stmt_isexplain_APIName interface returns 0 if sqlite3_stmt_isexplain_APIParam_1 is an ordinary statement or a NULL pointer.,"The sqlite3_stmt_isexplain_APIName interface returns 1 if the prepared statement sqlite3_stmt_isexplain_APIParam_1 is an EXPLAIN statement, or 2 if the statement sqlite3_stmt_isexplain_APIParam_1 is an EXPLAIN QUERY PLAN.The sqlite3_stmt_isexplain_APIName interface returns 0 if sqlite3_stmt_isexplain_APIParam_1 is an ordinary statement or a NULL pointer."
The sqlite3_libversion_number_APIName function returns an integer equal to SQLITE_VERSION_API_constant_NUMBER,null,The sqlite3_libversion_number_APIName function returns an integer equal to SQLITE_VERSION_API_constant_NUMBER.,"The sqlite3_version[] string constant contains the text of SQLITE_VERSION_API_constant macro.The sqlite3_libversion_APIName function returns a pointer to the to the sqlite3_version[] string constant.The sqlite3_libversion_APIName function is provided for use in DLLs since DLL users usually do not have direct access to string constants within the DLL.The sqlite3_libversion_number_APIName function returns an integer equal to SQLITE_VERSION_API_constant_NUMBER.The sqlite3_sourceid_APIName function returns a pointer to a string constant whose value is the same as the SQLITE_SOURCE_ID_API_constant C preprocessor macro.Except if SQLite is built using an edited copy of the amalgamation, then the last four characters of the hash might be different from SQLITE_SOURCE_ID_API_constant."
